"","Theta","DeltaD","DeltaS","Lambda","Rho","LogLik"
"Mean",0.0463500088455123,5.90799283616284e-06,0.614285658289354,0.45213228231798,0.13073299603579,770.562625159296
"Std.",0.000281037647572196,5.94053044936031e-06,0.00573002819772765,0.00248626969232041,0.00140864719940611,1.75643949855147
"Acceptance ratio",0.21752,0.14314,0.21576,0.19518,0.17782,0.65196
"0%",0.0452967843014392,4.4417940953343e-10,0.594739704994174,0.442555476427244,0.124707680619097,758.109668853758
"2.5%",0.0457990678234254,1.50237789105524e-07,0.603105733837009,0.44723047172001,0.128014967753075,766.321019700349
"5%",0.0458866130866177,2.73038973227148e-07,0.604838494697055,0.448062562752666,0.128449071322911,767.232826440072
"7.5%",0.0459474435029189,4.45982977753858e-07,0.605833137010802,0.448543603989779,0.128697651749753,767.800516651906
"10%",0.0459927958760582,6.03155202387833e-07,0.606864958382255,0.448946760900952,0.128908509742291,768.193794769307
"12.5%",0.0460296489651332,7.82152390359885e-07,0.607656521107409,0.449258312089111,0.129064818443009,768.527143822006
"15%",0.0460570390597855,9.25335007371702e-07,0.608315293874359,0.44955386632483,0.129201393294929,768.789221111238
"17.5%",0.0460851173486503,1.06643474637519e-06,0.608941527921162,0.449798887932254,0.129381664223095,769.032056989204
"20%",0.0461100646019232,1.23722116332335e-06,0.609498402072723,0.450015295998784,0.129536359290869,769.246249486876
"22.5%",0.0461364280616059,1.37118542145751e-06,0.609973145090049,0.450234794717249,0.12964441239949,769.444674361607
"25%",0.0461606221343673,1.54558861879796e-06,0.610452396992518,0.450427747877689,0.129761422900097,769.624004539633
"27.5%",0.0461827794100632,1.71793591875283e-06,0.610935818011146,0.450616935498502,0.129875856293265,769.778834253421
"30%",0.0462015467408136,1.96929512534086e-06,0.611336994920679,0.450819657573741,0.129995694792181,769.941400452866
"32.5%",0.0462234329172505,2.19485460040419e-06,0.611718683747778,0.450991496811968,0.130091875398843,770.072529615161
"35%",0.0462424454200305,2.45162574601974e-06,0.61209503250062,0.451146313435465,0.130183047718681,770.206858713431
"37.5%",0.0462622867750775,2.72602115646634e-06,0.612477538275671,0.451308428161943,0.130265623304322,770.326589430134
"40%",0.0462818486074287,3.00571296644689e-06,0.612881526635119,0.451475099846604,0.130365911593093,770.43830493491
"42.5%",0.0462987739749784,3.28713154582731e-06,0.613247799882678,0.451667017129225,0.130448321744175,770.558499092924
"45%",0.0463140600368181,3.54954130564916e-06,0.613570763872875,0.451807253788663,0.130534586438027,770.666397910897
"47.5%",0.0463342248209539,3.840391784307e-06,0.613881056646049,0.45196554373382,0.130633175981218,770.776131480519
"50%",0.0463498392077835,4.11702348800058e-06,0.61424884188066,0.452120570022582,0.130722910279854,770.884491123355
"52.5%",0.0463678201748176,4.44517255690077e-06,0.614576571451684,0.452294897612296,0.13081239287076,770.990754309719
"55%",0.0463842051904673,4.7422660983458e-06,0.614914694952682,0.45242657860637,0.130903057772997,771.093209353101
"57.5%",0.0464030943847145,5.07859372052753e-06,0.615272620942621,0.452625688091759,0.131008242431843,771.191723185492
"60%",0.0464207007683357,5.41101627441246e-06,0.615677464318284,0.452773032113612,0.131102747736816,771.286021597944
"62.5%",0.046439203252247,5.86179801212298e-06,0.616094110785288,0.452965260700345,0.131192580682891,771.383852406991
"65%",0.0464589469673896,6.24761116262509e-06,0.616494430654486,0.4531326649366,0.131296805699139,771.480824396045
"67.5%",0.0464770392840459,6.63416280832469e-06,0.616907892164942,0.453292330841009,0.131383251709016,771.571725545299
"70%",0.0464954324547946,7.09401936927368e-06,0.617324345054989,0.453438349728244,0.13147467939096,771.661995976459
"72.5%",0.0465171662173075,7.74173050478487e-06,0.617715477884017,0.453630471879408,0.131592811433911,771.763097281481
"75%",0.0465386666919135,8.2567696323878e-06,0.618126318694553,0.453808798107615,0.131686388445678,771.859379103124
"77.5%",0.0465617283693791,8.78571164527948e-06,0.61851185155395,0.454034561616911,0.131797849118866,771.954745050699
"80%",0.0465842281735069,9.55625458255456e-06,0.619067123934347,0.454232610939723,0.131938571710196,772.058209031038
"82.5%",0.0466095612851102,1.04131757147656e-05,0.61961335463815,0.454473767621383,0.132061761083804,772.162038972438
"85%",0.0466387989806516,1.13359995930858e-05,0.620289763002029,0.454720152173654,0.132185807195429,772.266949442297
"87.5%",0.0466710282849763,1.24586672386754e-05,0.620970397126917,0.455023048696818,0.132377369610902,772.374003634985
"90%",0.046710852763697,1.36956120167702e-05,0.621721865534152,0.455344489308868,0.132556905884348,772.492182096658
"92.5%",0.0467579492856547,1.55323170450277e-05,0.622605890749498,0.455736000844502,0.132781518296293,772.639069739169
"95%",0.0468177702652685,1.78141921453749e-05,0.623819514160699,0.456288830186543,0.133067610900853,772.79393526658
"97.5%",0.0469033092139134,2.16463152669685e-05,0.625628310495354,0.457091857209126,0.133459955135927,772.993637332335
"100%",0.0474273609730352,5.66419737574553e-05,0.635178192786385,0.461078134423889,0.136827182551429,773.588133987755
